branch;chainage;type_code;station_label;dfs0
BRANCH1039;3000.0;1;W47 ;.\Waterdemand2.dfs0
BRANCH1040;4708.0;1;W47 ;.\Waterdemand2.dfs0
BRANCH1041;200.0;1;W47 ;.\Waterdemand2.dfs0
BRANCH1042;200.0;1;W47 ;.\Waterdemand2.dfs0
BRANCH1042;200.0;1;W47 ;.\Waterdemand2.dfs0
BRANCH1043;1687.0;1;W47 ;.\Waterdemand2.dfs0
BRANCH1043;4813.0;1;W47 ;.\Waterdemand2.dfs0
BRANCH1043;8879.0;1;W47 ;.\Waterdemand2.dfs0
BRANCH1046;200.0;1;W47 ;.\Waterdemand2.dfs0
BRANCH1046;2830.0;1;W47 ;.\Waterdemand2.dfs0
BRANCH1048;200.0;1;W47 ;.\Waterdemand2.dfs0
BRANCH1048;2697.0;1;W47 ;.\Waterdemand2.dfs0
BRANCH1049;3000.0;1;W47 ;.\Waterdemand2.dfs0
BRANCH1053;751.0;1;W47 ;.\Waterdemand2.dfs0
BRANCH1054;3147.0;1;W48 ;.\Waterdemand2.dfs0
BRANCH1056;2191.0;1;W48 ;.\Waterdemand2.dfs0
BRANCH1158;200.0;1;W62 ;.\Waterdemand2.dfs0
BRANCH1159;3000.0;1;W62 ;.\Waterdemand2.dfs0
BRANCH1159;3000.0;1;W62 ;.\Waterdemand2.dfs0
BRANCH1160;200.0;1;W62 ;.\Waterdemand2.dfs0
BRANCH1162;200.0;1;W62 ;.\Waterdemand2.dfs0
BRANCH1165;3000.0;1;W62 ;.\Waterdemand2.dfs0
BRANCH1169;3000.0;1;W65 ;.\Waterdemand2.dfs0
BRANCH1201;200.0;1;W65 ;.\Waterdemand2.dfs0
BRANCH973;2029.0;1;W49 ;.\Waterdemand2.dfs0
BRANCH973;7851.0;1;W49 ;.\Waterdemand2.dfs0
BRANCH974;1157.0;1;W49 ;.\Waterdemand2.dfs0
