survey_name;river;file_stem;chainage_survey;x_utm;y_utm;mike_branch;mike_chainage;dist_proj_m;n_pts;width_m;z_bed;z_bank_L;z_bank_R;awet_m2;sec_file
VN4;VamNao;SongVamNao;13670.0;539197.3424689199;1171731.8543469303;VamNao;14486.0;5.4;194;739.0;-12.35;2.72;5.0;8364.0;SongVamNao_VN4.csv
VN5;VamNao;SongVamNao;17315.0;539766.5583834735;1168423.415100356;VamNao;18163.9;21.0;137;527.8;-22.03;3.75;3.41;6690.9;SongVamNao_VN5.csv
VN6;VamNao;SongVamNao;22000.0;536050.0073768167;1165490.891188064;VamNao;23011.6;23.1;127;488.0;-19.91;2.97;4.07;7234.5;SongVamNao_VN6.csv
VN5P;VamNao;SongVamNao;16535.0;;;;;;61;224.7;-8.86;1.74;2.68;951.2;SongVamNao_VN5P.csv
CC1;CoChien;SongCoChien;0.0;602383.9084239744;1136287.0335051173;CoChien;814.1;48.2;231;1117.0;-19.97;-0.79;2.55;15206.0;SongCoChien_CC1.csv
CC2;CoChien;SongCoChien;4900.0;606789.5062267092;1134394.2051409064;CoChien;5923.1;17.0;116;543.7;-35.74;-0.88;2.33;10489.4;SongCoChien_CC2.csv
CC3;CoChien;SongCoChien;10100.0;611805.6036037637;1134391.5641031864;CoChien;11066.3;12.5;297;1461.1;-18.22;-0.77;2.74;19086.5;SongCoChien_CC3.csv
CC4P;CoChien;SongCoChien;15750.0;616991.262136887;1134180.9928244434;CoChien_1;3541.9;28.1;74;331.5;-10.56;2.02;2.77;2244.3;SongCoChien_CC4P.csv
CC4;CoChien;SongCoChien;15750.0;616950.8916267061;1132554.388967338;CoChien;16856.8;5.9;122;582.1;-27.48;-0.66;2.47;10859.6;SongCoChien_CC4.csv
CC5;CoChien;SongCoChien;21500.0;622504.060438818;1131489.9743742284;CoChien;22642.5;136.5;314;1548.7;-20.67;3.06;2.04;22757.9;SongCoChien_CC5.csv
CC6;CoChien;SongCoChien;26750.0;626783.0516520563;1128423.8628847834;CoChien;28035.7;13.5;211;1024.9;-20.53;1.64;-0.33;14882.0;SongCoChien_CC6.csv
CC6P;CoChien;SongCoChien;26750.0;625789.9957553286;1127672.8273298743;CoChien_2;1824.7;61.1;119;563.6;-12.1;0.64;0.76;4791.3;SongCoChien_CC6P.csv
CC7P;CoChien;SongCoChien;30450.0;629554.0489244711;1125867.98666653;CoChien_3;3595.2;26.7;150;713.6;-17.41;1.78;0.44;9565.8;SongCoChien_CC7P.csv
CC7;CoChien;SongCoChien;30450.0;628574.6937698638;1125198.747738916;CoChien;31823.3;50.7;164;602.2;-19.31;1.47;1.55;8895.3;SongCoChien_CC7.csv
CC8P;CoChien;SongCoChien;35350.0;632962.9873468766;1122694.237592664;CoChien_3;8269.2;50.9;165;639.3;-14.93;1.22;1.72;7876.6;SongCoChien_CC8P.csv
CC8;CoChien;SongCoChien;35350.0;630087.1763996317;1120471.038928997;CoChien;36969.6;7.2;205;785.5;-20.82;0.7;1.17;11921.4;SongCoChien_CC8.csv
CC9P;CoChien;SongCoChien;39800.0;635734.6549237003;1119093.1980217167;CoChien_3;12861.7;36.3;247;944.5;-13.63;1.39;1.42;10918.6;SongCoChien_CC9P.csv
CC9;CoChien;SongCoChien;39800.0;633037.177432908;1117361.538934164;CoChien;41263.1;57.2;318;1228.5;-18.2;1.41;2.27;15472.6;SongCoChien_CC9.csv
CC10P;CoChien;SongCoChien;44700.0;;;;;;211;803.7;-13.69;1.27;1.45;9930.3;SongCoChien_CC10P.csv
CC10;CoChien;SongCoChien;44700.0;637353.31014766;1113178.2501525679;CoChien;47345.9;30.8;374;1437.9;-15.61;0.36;1.97;16386.1;SongCoChien_CC10.csv
CC11;CoChien;SongCoChien;49450.0;640872.7555414238;1111632.7639757507;CoChien;51479.8;307.9;577;2266.2;-17.0;1.62;1.63;29684.2;SongCoChien_CC11.csv
CC12P;CoChien;SongCoChien;53350.0;644794.0474100595;1109917.2812679142;CoChien_4;4025.8;29.0;66;288.7;-6.78;1.73;1.59;1559.1;SongCoChien_CC12P.csv
CC12;CoChien;SongCoChien;53350.0;643422.4418649746;1108669.834894912;CoChien;55501.6;20.6;323;1580.4;-17.6;1.55;2.11;23675.7;SongCoChien_CC12.csv
CC13;CoChien;SongCoChien;57800.0;647206.2992246614;1106012.345548903;CoChien;60220.0;203.9;536;2633.4;-17.61;1.78;1.76;33291.4;SongCoChien_CC13.csv
CC14;CoChien;SongCoChien;61500.0;650199.8320329535;1104163.0758799117;CuaCoChien;2499.8;67.4;325;1589.5;-14.71;1.63;1.72;18145.6;SongCoChien_CC14.csv
CC14P;CoChien;SongCoChien;61500.0;649108.0783472995;1102948.532503365;CuaCungHau;2806.6;41.1;177;852.4;-13.23;2.44;1.86;10209.6;SongCoChien_CC14P.csv
CC15;CoChien;SongCoChien;65700.0;654102.6066229269;1101567.4122714968;CuaCoChien;7191.5;50.5;289;1406.6;-15.87;0.2;1.64;16767.6;SongCoChien_CC15.csv
CC15P;CoChien;SongCoChien;65700.0;652363.2155901634;1099653.7546232888;CuaCungHau;7496.5;45.9;231;1100.3;-12.78;-0.43;2.2;11394.3;SongCoChien_CC15P.csv
CC16;CoChien;SongCoChien;70950.0;658197.8747629937;1099213.215484507;CuaCoChien;11937.3;38.5;263;1273.5;-13.59;1.43;0.87;15226.3;SongCoChien_CC16.csv
CC16P;CoChien;SongCoChien;70950.0;656709.4054668581;1095843.4110694395;CuaCungHau;13292.8;3.3;249;1219.4;-12.96;2.36;1.27;12822.3;SongCoChien_CC16P.csv
CC17;CoChien;SongCoChien;76300.0;662858.1737712978;1096652.6966598828;CuaCoChien;17306.0;113.9;283;1371.8;-15.83;1.76;1.41;15973.8;SongCoChien_CC17.csv
CC17P;CoChien;SongCoChien;76300.0;;;;;;393;1896.5;-12.48;1.0;0.93;15520.9;SongCoChien_CC17P.csv
CC18;CoChien;SongCoChien;81700.0;666593.9170734196;1092750.306459673;CuaCoChien;22753.7;137.7;347;1707.9;-15.16;2.28;1.33;17705.7;SongCoChien_CC18.csv
